year,rating,id,title,imdb_id
1888,0,8040,Roundhay Garden Scene,0392728
1892,0,5433,Pauvre Pierrot,0000003
1895,0,6200,"The Execution of Mary, Queen of Scots",0132134
1895,0,5444,Tables Turned on the Gardener,0000014
1896,0,5406,Une nuit terrible,0000131
1896,0,5445,La fee aux choux,0223341
1896,0,6199,The Arrival of a Train,0000012
1896,0,4982,The House of the Devil,0000091
1897,0,9328,Bataille de neige,0000041
1898,0,4978,Four Heads Are Better Than One,0135696
1898,0,5411,The Temptation of St. Anthony,0224240
1898,0,5410,"The Astronomer&#39;s Dream; or Man in the Moon, The",0000211
1899,3,5914,Cinderella,0000230
1899,0,4994,A Turn of the Century Illusionist,0000246
1900,0,4346,Hamlet ( Le Duel d’Hamlet),0000306
1900,0,5438,Let Me Dream Again,0000313
1900,0,1594,Sherlock Holmes Baffled,0291476
1900,0,4993,The One-Man Band,0135453
1900,0,5069,Grandma Threading Her Needle,0377995
1900,0,4271,The Enchanted Drawing,0000300
1900,0,4345,Explosion of a Motor Car (a.k.a The Dlights of Automobiling),0257654
1900,0,5072,"Searching Ruins on Broadway, Galveston, for Dead Bodies",0230746
1900,0,4344,As Seen Through A Telescope (a.k.a The Professor and His Field Glass),0000272
1900,0,5446,The Doctor and the Monkey,0227438
1900,0,4343,Grandma’s Reading Glass,0000304
1901,0,5437,Reve et realite,0258104
1901,0,4995,L’homme a la tete en caoutchouc,0000359
1901,0,5500,Bluebeard,0131934
1902,0,1252,Le voyage dans la lune,0000417
1902,0,5443,Mephistopheles’ School of Magic,0000413
1902,0,5432,"The Twentieth Century Tramp; or, Happy Hooligan and His Airship",0367177
1902,0,5431,Gulliver’s Travels,0229024
1903,0,1319,The Great Train Robbery,0000439
1903,0,5064,The Monster,0223755
1903,0,5683,The Enchanted Well,0189498
1903,0,5063,The Music Lover,0000455
1903,0,5002,The Infernal Boiling Pot,0135180
1904,0,5601,The Untamable Whiskers,0135631
1904,0,5224,The Cook in Trouble,0215664
1904,0,5404,The Living Playing Cards,0135179
1904,0,6135,Le voyage a travers l’impossible,0000499
1905,0,5003,The Scheming Gambler&#39;s Paradise,0135690
1905,0,5602,The Black Imp,0215575
1906,1,1349,The Story of the Kelly Gang,0000574
1906,0,5684,The 400 Tricks of the Devil,0000567
1906,0,7215,The Consequence of Feminism,1260944
1906,0,5603,The Hilarious Posters,0135122
1906,0,6206,A Funny Shave,0449172
1906,0,5435,Humorous Phases of Funny Faces,0000554
1906,0,5024,The Mysterious Retort,0216016
1907,0,5615,Good Glue Sticks,0215817
1907,0,5223,The Eclipse: Courtship of the Sun and Moon,0215737
1908,0,6231,Unusual Cooking,1802750
1909,1,6211,Le barometre de la fidelite,0277596
1909,2,4409,The Princess Nicotine; or Smoke Fairy,0001009
1909,0,5635,The Devilish Tenant,0127948
1910,0,5685,A Trip to Mars,1515725
1910,3,1464,Tilly the Tomboy Visits the Poor,0232821
1910,0,4983,Mobilier fidele,0486978
1912,2,2003,Cleopatra,0002101
1912,0,5357,Max and the Donkey,0277865
1912,0,2005,The Invaders,0002281
1913,0,5364,The Voyage of the Bourrichon Family,0003512
1913,0,5915,Suspense,0003424
1914,2,4457,A Florida Enchantment,0003973
1915,2,1258,The Birth of a Nation,0004972
1916,3,2014,Lady Windermere’s Fan,0279914
1916,0,5368,The Vagabond,0007507
1916,3,7004,Snow White,0007361
1916,0,5944,Intolerance: Love’s Struggle Throughout the Ages,0006864
1916,3,2008,Gretchen the Greenhorn,0006745
1917,3,1981,A Tale of Two Cities,0008652
1917,2,2019,"Raffles, the Amateur Cracksman",0008489
1917,3,1994,The Poor Little Rich Girl,0008443
1917,0,2015,A Romance of the Redwoods,0008519
1917,3,1993,Rebecca of Sunnybrook Farm,0008499
1918,3,1996,Tarzan of the Apes,0009682
1918,0,5441,Are Crooks Dishonest?,0008844
1918,3,7108,Ich mochte kein Mann sein,0010281
1918,3,2007,Stella Maris,0009652
1919,0,2588,Broken Blossoms or The Yellow Man and the Girl,0009968
1919,3,2018,When the Clouds Roll by,0010879
1920,3,5948,Within Our Gates,0011870
1920,3,1991,Pollyanna,0011588
1920,0,1306,The Cabinet of Dr. Caligari,0010323
1921,3,1263,Orphans of the Storm,0012532
1921,3,4204,The Blot,0011979
1921,0,3945,The Kid,0012349
1921,2,5898,K&ouml;rkarlen (The Phantom Carriage),0012364
1922,2,1631,The Phantom,0013496
1922,2,1778,Nathan der Weise,0013428
1922,0,5361,The Paleface,0012543
1922,3,5967,"Dr. Mabuse, der Spieler - Ein Bild der Zeit",0013086
1922,3,5958,Foolish Wives,0013140
1922,2,1307,"Nosferatu, eine Symphonie des Grauens",0013442
1922,1,2001,The Man from Beyond,0013367
1922,3,3800,H&auml;xan: Witchcraft Through the Ages,0013257
1922,1,5901,Nanook of the North,0013427
1923,0,5949,Our Hospitality,0014341
1923,0,1967,Why Worry?,0014611
1923,2,1998,The Silent Command,0014469
1923,3,5888,La souriante Madame Beudet,0013626
1923,2,8947,A Woman of Paris,0014624
1923,0,1961,Safety Last!,0014429
1924,0,2413,The Great White Silence,1764657
1924,0,1960,Wild Oranges,0015498
1924,2,1337,Die Nibelungen,0015175
1924,3,2020,Manhandled,0015116
1924,0,2009,The Navigator,0015163
1924,0,2016,Girl Shy,0014945
1924,0,1264,The Thief of Bagdad,0015400
1924,0,2011,Sherlock Jr.,0015324
1924,3,8458,Greed,0015881
1924,2,1338,Kriemhild’s Revenge,0015174
1924,0,6209,Help!,0013845
1925,0,1309,The Gold Rush,0015864
1925,0,1978,Go West,0015863
1925,2,1305,The Phantom of the Opera,0016220
1925,0,1308,Battleship Potemkin,0015648
1925,2,5962,The Big Parade,0015624
1925,0,3077,Seven Chances,0016332
1925,0,2012,The Freshman,0015841
1925,0,5991,Stachka,0015361
1925,2,5514,The Lost World,0016039
1926,1,1334,The Temptress,0017449
1926,0,1966,For Heaven’s Sake,0016895
1926,1,5974,Die Abenteuer des Prinzen Achmed,0015532
1926,3,3217,So’s Your Old Man,0017410
1926,0,1310,The General,0017925
1926,1,1260,Flesh and the Devil,0016884
1927,0,1982,Nevada,0018199
1927,0,1964,The Kid Brother,0018051
1927,3,2010,My Best Girl,0018183
1927,3,1227,It,0018033
1927,1,7324,Downhill [When Boys Leave Home],0017825
1927,2,1312,Abel Gance’s Napoleon,0018192
1927,1,5975,The Jazz Singer,0018037
1927,0,1311,The Unknown,0018528
1927,2,1632,Sunrise: A Song of Two Humans,0018455
1927,1,1267,Metropolis,0017136
1927,1,3118,Wings,0018578
1928,2,2021,The Man Who Laughs,0019130
1928,0,1971,"Steamboat Bill, Jr.",0019421
1928,1,5912,The Crowd,0018806
1928,2,2017,While the City Sleeps,0019571
1928,3,2013,The Patsy,0019258
1928,2,9314,Our Dancing Daughters,0019237
1928,0,1963,Speedy,0019412
1928,0,1970,The Cameraman,0018742
1928,0,1977,Beggars of Life,0018684
1928,0,1980,A Girl in Every Port,0018937
1928,0,1314,The Passion of Joan of Arc,0019254
1928,2,5984,The Docks of New York,0018839
1928,0,1972,The Racket,0019304
1928,1,1979,The Power of the Press,0019290
1928,0,1968,The Circus,0018773
1929,0,3897,Man with a Movie Camera,0019760
1929,2,5979,Blackmail,0019702
1929,2,1953,The Cocoanuts,0019777
1929,3,8464,Broadway Melody,0019729
1929,0,6046,Throw of the Dice,0020286
1929,0,1962,Welcome Danger,0020572
